,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,y
X1,1.0,0.4089269246343457,0.35963169313615556,0.30861142044488665,0.3239126747127614,0.33509688217326017,0.2557627827416864,0.24463595769172,0.29844832207810806,0.3052825221201255,0.3705537982870916,0.2913395949285471,0.2861797333045617,0.31507002812415175,0.3406553236101448,0.36528772904511025,0.2642678838068805,0.3635621128427165,0.2961298610030441,0.2673426564589761,0.2949977964216791,0.23362398331297476,0.3391284466035461,0.21739874744752022,0.3176981305821183,0.27309820272492646,0.43262136506305315,0.38178784450419806,0.40014859355927435,0.3890920967499202,-0.0671819553441497
X2,0.4089269246343457,1.0,0.2294955168858765,0.31319309099855314,0.27289527585169215,0.2739779362981605,0.4194185255653379,0.3345040571515503,0.297529239363116,0.2735222844088132,0.4112800698476325,0.40415292512701556,0.33800130520658567,0.3541367652988882,0.33814035762003253,0.35251982179105984,0.32549154278420617,0.37185530059651467,0.34768127460387327,0.296047337660972,0.3422273851940159,0.23283426222953782,0.2959336773956331,0.31548145253142607,0.3414554693508768,0.3247902867482304,0.24393373104699032,0.28489699669462193,0.38561050842359906,0.4167267310060188,0.004781749818766384
X3,0.35963169313615556,0.2294955168858765,1.0,0.2576411127794253,0.22638921066745143,0.32840766341921207,0.3942837758344202,0.2618010385624706,0.3129694705199426,0.2250481055877142,0.3396876449876589,0.3078522203127027,0.25506361126034954,0.34150520555080555,0.23086620526639628,0.3090101787173489,0.26084501537214044,0.3849600947256149,0.22802925394629647,0.2677906085978919,0.36619000945535324,0.2783589389113075,0.23205122028323033,0.2793845821977772,0.31577119102343953,0.25353950826487914,0.32239371354722357,0.16639365448798477,0.35183191895800675,0.320179324228107,0.029693791083180605
X4,0.30861142044488665,0.31319309099855314,0.2576411127794253,1.0,0.363643722043743,0.2343424411748335,0.42200229069601114,0.3374574453481404,0.3082659163481622,0.32279900923112176,0.26377143935283137,0.4403986873535095,0.333432617969923,0.3220868399333633,0.3269268814871187,0.41553643730581497,0.2807716141677854,0.26122355893084304,0.25984943813005973,0.3128742655619462,0.3985308406550169,0.2640787875398221,0.31329426867517013,0.35290090900081655,0.3629902755504801,0.33436261854744254,0.3132621390673959,0.24067946541668836,0.36132310846843657,0.2791871495994322,0.0881324314736966
X5,0.3239126747127614,0.27289527585169215,0.22638921066745143,0.363643722043743,1.0,0.2833749180939518,0.25947041531678317,0.2763172252722195,0.3083440824408792,0.25535594198991823,0.20057072324256126,0.27647419733812195,0.3172461044920557,0.17026087286485872,0.2030589190009839,0.3642238698657433,0.3446801252544313,0.29612449628854315,0.19737090603417615,0.30684094800128825,0.27190798872730443,0.315563306807357,0.17834803983045736,0.27754006377188734,0.2777175171115028,0.134723201245955,0.24897253335550754,0.2562090034542413,0.31945196766589223,0.23023123330367956,0.08286671858743944
X6,0.33509688217326017,0.2739779362981605,0.32840766341921207,0.2343424411748335,0.2833749180939518,1.0,0.21514022241639952,0.27074634015387505,0.37704521487486004,0.39621725476709413,0.3053426907935612,0.2312573730370222,0.2179728510360538,0.31838298869073295,0.3087811468465458,0.35267110757506,0.31770612766283696,0.33694788437015705,0.24490584986492941,0.37095460050296475,0.13706910286617205,0.33120474770822544,0.28816861179532594,0.2490227838434391,0.2160385956258046,0.2813026594881355,0.3138852444858702,0.2749165726132638,0.37187577938261746,0.19585790458364022,-0.0746962625813542
X7,0.2557627827416864,0.4194185255653379,0.3942837758344202,0.42200229069601114,0.25947041531678317,0.21514022241639952,1.0,0.3415103636538025,0.3153954464076446,0.3058039310792364,0.46407677160389954,0.3772078057734746,0.2736003958239442,0.2821366842673528,0.3408809842658617,0.3756931376090615,0.3815953743752925,0.32621623461362664,0.4024514633714094,0.27845534675307204,0.43993871476227614,0.3014691755870087,0.23546683632036575,0.33601144565725377,0.35997444904767006,0.22512265842581852,0.4049101487798864,0.3225015359900711,0.4603734411162718,0.39338513342788617,0.034063415117007154
X8,0.24463595769172,0.3345040571515503,0.2618010385624706,0.3374574453481404,0.2763172252722195,0.27074634015387505,0.3415103636538025,1.0,0.30655114699883207,0.4241434686343686,0.31000170621932416,0.2756005419249579,0.2463723640085515,0.26834081042673386,0.29068083320060595,0.30412928688763086,0.35635236765199896,0.3497745548986053,0.24475814457434356,0.40642637260405695,0.24359766804925453,0.21532177247678724,0.2725185732927049,0.3027799445680938,0.36944460870710905,0.33723726997967374,0.31888996033572165,0.2703177701055088,0.30384166445443356,0.314041206923105,0.05056848237027235
X9,0.29844832207810806,0.297529239363116,0.3129694705199426,0.3082659163481622,0.3083440824408792,0.37704521487486004,0.3153954464076446,0.30655114699883207,1.0,0.38160697871075694,0.3454611903148256,0.23708350698549838,0.2847305085871418,0.24824597996450434,0.27160280402959086,0.30901927005363056,0.3544816045197179,0.2579372894869292,0.4004358256080406,0.20014360795902825,0.25651829507152196,0.33087948649011595,0.2544282897464597,0.2501674168713697,0.2893152788920099,0.35108585836137485,0.3044928888892972,0.2996679291937315,0.17521841785672598,0.2513749147523941,0.037215804413754355
X10,0.3052825221201255,0.2735222844088132,0.2250481055877142,0.32279900923112176,0.25535594198991823,0.39621725476709413,0.3058039310792364,0.4241434686343686,0.38160697871075694,1.0,0.35346806586154705,0.26609572954466076,0.2499353685363814,0.27846947826052165,0.2637306209155633,0.33156158867536994,0.2974347513944236,0.26134068508161123,0.2555115508370888,0.34238751102016857,0.30422298997003305,0.21172697622221834,0.34650736990035574,0.33545990944837056,0.3300065134118446,0.26800408835486283,0.3237608947690786,0.31096759007673747,0.2480039982133965,0.3388656581271147,0.05134359206207506
