,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,y
X1,1.0,0.3169036334975435,0.1958004497328807,0.34173807752916446,0.1654113543531057,0.27265083468007123,0.30557524521623525,0.23333721551413109,0.13654982739473814,0.3671419028903058,0.13834202942604926,0.20343136885385393,0.2752606870801768,0.22998413306068655,0.14460108248749115,0.14467825127470718,0.3085034726987708,0.2166716200831486,0.1459396891764528,0.16895042148791395,0.26858163102376936,0.10792687228512182,0.18294796794597448,0.31331258726605127,0.21058448045778116,0.1679697878563625,0.28253784724063313,0.10738784665894065,0.3478158559005741,0.19868395312660614,0.022242010608019388
X2,0.3169036334975435,1.0,0.2675483999979651,0.35137952648117154,0.21649490203409302,0.35044258091103764,0.3149060117720637,0.33193649826363214,-0.011211194877401664,0.2488334892150646,0.0814949177702068,0.2511800923932482,0.21557775354747352,0.33868174354250347,0.16331228557794436,0.2310314073644877,0.22975213396473532,0.17676532757445418,0.1502426110877405,0.1938532332092742,0.33239488756563695,0.31775489433506426,0.28778959441791935,0.23561396230295,0.26989599213402227,0.15446206033544402,0.08186051917626318,0.14272236278446565,0.24308562033787373,0.33387149206558847,0.01811423951272815
X3,0.1958004497328807,0.2675483999979651,1.0,0.22267984129197343,0.3032129320546424,0.37302283341400194,0.33618887328697944,0.3187804634446927,0.22398156540687034,0.24666866505820453,0.39884853781890894,0.3705515144292601,0.4479087598882938,0.28131986083553423,0.23971544376392614,0.19240968564107555,0.19207369844358002,0.27207199463978726,0.24150398663765615,0.1778384312992237,0.28722310218477304,0.24472221404208225,0.11796826573184035,0.15135551670875289,0.13764609306306375,0.08696990800694517,0.09067107735407638,0.16967338649303082,0.27033954197795645,0.23772009642087427,-0.1359652336955139
X4,0.34173807752916446,0.35137952648117154,0.22267984129197343,1.0,0.228553137828226,0.18907731735984926,0.25060213701461637,0.25726862245963333,0.19621998218893064,0.32225450505217484,0.16069305973318612,0.22450211297939787,0.2762895134500782,0.4143274379915932,0.2882559586203905,0.28622273340177457,0.28673620546808215,0.2812915896652719,0.30018438936522635,0.3475295711259586,0.3496134986872915,0.19464300997858489,0.22570479622821227,0.31467965812045784,0.2742821123675704,0.3426843526332872,0.27461996667917216,0.1055106911136146,0.33224844026234407,0.17513489014163422,-0.17129592967921176
X5,0.1654113543531057,0.21649490203409302,0.3032129320546424,0.228553137828226,1.0,0.07514748562054367,0.39748915812897073,0.2615952395018335,0.28311088906684573,0.283879002926217,0.2503008564062418,0.22084879954503306,0.38955631234303373,0.2421031650508761,0.2851946629398433,0.33814143610830155,0.21813117614974378,0.19540238281415406,0.2147296839283419,0.30143015383354105,0.24691351350024857,0.33846006313747473,0.40372591830153726,0.3174751530824682,0.3674918615995803,0.21769681774031938,0.15687629360798874,0.2939611000898573,0.2550429028823834,0.26658553910663996,-0.006348230739356533
X6,0.27265083468007123,0.35044258091103764,0.37302283341400194,0.18907731735984926,0.07514748562054367,1.0,0.22208360828456852,0.3309817744799337,0.1787878535427058,0.24787738491517117,0.19069933338381026,0.4073394113319873,0.37154768447681874,0.3710252144703265,0.22035748533696445,0.18953498886669223,0.31821339726472636,0.2534692157119576,0.1889250786109291,0.3413364649340506,0.2685326905598304,0.3367792686675471,0.13812375952646025,0.26178416236843144,0.30595026483165666,0.2723567618557011,0.2250707672435861,0.09386389983647372,0.16984780585219003,0.24427087999000524,-0.08601257177372801
X7,0.30557524521623525,0.3149060117720637,0.33618887328697944,0.25060213701461637,0.39748915812897073,0.22208360828456852,1.0,0.3378989588635378,0.2690060830593913,0.3898591317135826,0.2315210040648328,0.36796226801906234,0.3600004961268338,0.2412163193271788,0.30413115509337457,0.21946801741551705,0.21030365728737596,0.3420302249996291,0.288958605034321,0.3541348326026601,0.3197239030200816,0.22880163850143556,0.34506003230932714,0.2783930246934188,0.2928912725085865,0.11271893170547707,0.22322560404727734,0.0076429286460788,0.20178498954028656,0.2683554208249265,0.002630530120501187
X8,0.23333721551413109,0.33193649826363214,0.3187804634446927,0.25726862245963333,0.2615952395018335,0.3309817744799337,0.3378989588635378,1.0,0.2136266258238559,0.34477523386192943,0.1723030771414067,0.3541099246024868,0.346614568797909,0.34479084113971065,0.22316157893480892,0.29424680874275827,0.36786965582556186,0.3730649649627534,0.19948139092978476,0.3315371313332688,0.41041270143423736,0.3865224726713771,0.3634006205238217,0.2979101421837029,0.33735020037171215,0.36353603054737516,0.2539199612260673,0.19664145075361564,0.3193735429258261,0.3064784809848505,-0.007446681604508452
X9,0.13654982739473814,-0.011211194877401664,0.22398156540687034,0.19621998218893064,0.28311088906684573,0.1787878535427058,0.2690060830593913,0.2136266258238559,1.0,0.22050305319625274,0.306366702317501,0.18362281808210948,0.48459239465152937,0.15846110638365682,0.21537430935283716,0.24313377778002854,0.2684468467577241,0.34094213995950295,0.23605388838750402,0.3208142716841489,0.2697906593630886,0.16858245692711624,0.2508060936088449,0.3236728824782618,0.2768395978045373,0.25400755432455774,0.2542752104803937,0.20276591329874802,0.244609797757029,0.33743113978335654,-0.013923413855757334
X10,0.3671419028903058,0.2488334892150646,0.24666866505820453,0.32225450505217484,0.283879002926217,0.24787738491517117,0.3898591317135826,0.34477523386192943,0.22050305319625274,1.0,0.19909249686663494,0.20516143863570185,0.16070306742139215,0.2205024147993388,0.07939880934695817,0.17319878798536706,0.2594984417969417,0.38131831877364825,0.3182901918598491,0.36538300162367665,0.24320797879231718,0.3339418211878669,0.24342601039795014,0.27122607333583887,0.23325820583116375,0.24023007885208672,0.06913926880440176,0.28716099892222935,0.17134530880601817,0.20353381418504815,0.07253010586053915
